PO_MW (g/mol),DI_MR,PO_MR,CE_MR,IsoIndex,CHS (%),Tr1,Tr2,Gage_Length (mm),Gage_Width (mm),Thickness (mm),Elongation_Rate (mm/min),Strain_Rate (/min),Young's modulus (Mpa),Tensile strength (Mpa),Elongation at break (%)
1985,0.501,0.25,0.249,1.004,24.4,22.0,22.0,22.0,5.0,0.5,25.0,0.625,4.2,24.8,1250.0
1985,0.501,0.25,,1.004,24.4,22.0,22.0,22.0,5.0,0.5,25.0,0.625,4.2,25.8,1325.0
2000,0.495,0.108,0.397,0.98,45.0,22.0,22.0,22.0,5.0,0.5,25.0,0.625,144.0,39.0,360.0
2000,0.501,0.142,,1.004,35.0,0.0,22.0,22.0,5.0,0.5,25.0,0.625,95.0,31.4,600.0
2000,0.504,0.109,0.387,1.016,44.9,22.0,22.0,22.0,5.0,0.5,25.0,0.625,137.0,53.4,460.0
1008,0.5,0.167,,1.0,46.3,65.0,65.0,38.1,6.0,0.25,12.7,0.333,69.2,42.5,603.0
1996,0.5,0.086,,1.0,46.6,65.0,65.0,38.1,6.0,0.25,12.7,0.333,188.5,39.3,565.0
1996,0.5,0.132,,1.0,35.9,65.0,65.0,38.1,6.0,0.25,12.7,0.333,42.6,39.4,766.0
990,0.5,0.1,,1.0,61.9,50.0,75.0,38.1,6.0,0.25,12.7,0.333,94.0,57.6,599.0
860,0.5,0.25,0.25,1.0,44.3,110.0,130.0,25.0,6.0,1.0,100.0,4.0,64.0,11.3,330.0
860,0.5,0.3,0.2,1.0,37.3,110.0,130.0,25.0,6.0,1.0,100.0,4.0,41.4,9.8,450.0
860,0.5,0.4,,1.0,25.7,110.0,130.0,25.0,6.0,1.0,100.0,4.0,23.4,9.6,600.0
860,0.5,0.1,,1.0,73.2,110.0,130.0,25.0,6.0,1.0,100.0,4.0,146.0,21.5,270.0
860,0.5,0.2,,1.0,53.4,110.0,130.0,25.0,6.0,1.0,100.0,4.0,114.3,16.0,240.0
860,0.5,0.25,,1.0,45.3,110.0,130.0,25.0,6.0,1.0,100.0,4.0,62.8,14.2,380.0
860,0.5,0.3,,1.0,38.2,110.0,130.0,25.0,6.0,1.0,100.0,4.0,44.7,13.3,480.0
860,0.5,0.4,,1.0,26.1,110.0,130.0,25.0,6.0,1.0,100.0,4.0,17.8,10.7,630.0
860,0.5,0.1,,1.0,75.7,110.0,130.0,25.0,6.0,1.0,100.0,4.0,225.8,23.3,400.0
860,0.5,0.2,,1.0,56.4,110.0,130.0,25.0,6.0,1.0,100.0,4.0,116.9,21.3,470.0
860,0.5,0.25,,1.0,48.1,110.0,130.0,25.0,6.0,1.0,100.0,4.0,76.2,18.7,530.0
860,0.5,0.3,,1.0,40.9,110.0,130.0,25.0,6.0,1.0,100.0,4.0,48.7,11.0,460.0
860,0.5,0.4,,1.0,27.4,110.0,130.0,25.0,6.0,1.0,100.0,4.0,40.5,8.8,670.0
2000,0.5,0.333,,1.0,18.35,100.0,110.0,20.0,6.0,0.5,36.0,1.8,5.8,19.2,800.0
2000,0.5,0.22,,1.0,26.86,100.0,110.0,20.0,6.0,0.5,36.0,1.8,10.25,24.3,750.0
2000,0.5,0.165,,1.0,33.69,100.0,110.0,20.0,6.0,0.5,36.0,1.8,15.2,14.2,600.0
2000,0.5,0.132,0.368,1.0,39.28,100.0,110.0,20.0,6.0,0.5,36.0,1.8,20.13,26.3,750.0
2000,0.5,0.0825,,1.0,51.67,100.0,110.0,20.0,6.0,0.5,36.0,1.8,37.75,33.2,603.0
2000,0.5,0.208,,1.0,27.25,100.0,110.0,20.0,6.0,0.5,36.0,1.8,8.8,25.9,603.0
2000,0.5,0.15625,,1.0,34.09,100.0,110.0,20.0,6.0,0.5,36.0,1.8,9.15,26.2,487.0
2000,0.5,0.125,0.375,1.0,39.75,100.0,110.0,20.0,6.0,0.5,36.0,1.8,19.1,27.4,520.0
2000,0.5,0.078,0.422,1.0,52.09,100.0,110.0,20.0,6.0,0.5,36.0,1.8,32.4,27.4,517.0
2000,0.5,0.25,0.25,1.0,27.03,110.0,60.0,20.0,6.0,0.5,36.0,1.8,16.63,35.9,852.0
2000,0.5,0.25,0.25,1.0,25.89,110.0,60.0,20.0,6.0,0.5,36.0,1.8,13.63,33.5,601.0
2000,0.5,0.25,,1.0,27.03,110.0,60.0,20.0,6.0,0.5,36.0,1.8,15.65,19.8,750.0
1000,0.5,0.17,,1.0,50.0,90.0,130.0,25.0,6.0,1.0,100.0,4.0,47.6,25.5,425.0
1000,0.5,0.2312,0.2688,1.0,40.0,90.0,130.0,25.0,6.0,1.0,100.0,4.0,30.9,28.0,654.0
860,0.5,0.1382,,1.0,60.0,90.0,130.0,25.0,6.0,1.0,100.0,4.0,83.9,36.8,278.0
860,0.5,0.1913,,1.0,50.0,90.0,130.0,25.0,6.0,1.0,100.0,4.0,56.1,42.5,405.0
860,0.5,0.257,,1.0,40.0,90.0,130.0,25.0,6.0,1.0,100.0,4.0,32.2,42.6,532.0
2000,0.5122,0.2195,,1.05,27.72,110.0,135.0,25.0,6.0,1.0,100.0,4.0,47.9,37.3,500.0
