SSID,ZS_CHS,ZS_R,ZS_log_Tr1K,ZS_log_Tr2K,PMStep,Form_Method,ZS_log_CSArea,ZS_log_StrainRate,ZS_log_PO_MW,ZS_log_FCVm,ZS_FCCED,ZS_log_Fchi,ZS_SS_TPSA_norm,ZS_SS_MolLogP_norm,ZS_HS_BertzCT,ZS_SS_VSA_EState8,ZS_SS_PEOE_VSA8,ZS_log_HS_NumNHCO_norm,ZS_FC_NumHAcceptors_norm,ZS_FC_RingCount_norm,logEB,logYM,logTS
SS1237,-0.698398029,-0.45846916,0.257283837,-0.316836129,2,3,1.002082384,-1.317873435,-0.322186218,-0.19492602,0.035269798,-0.533822704,-0.028829965,0.585671925,-1.44198275,1.74850084,1.158316349,0.762073202,0.722990241,-2.066042155,0.84509804,1.51054501,1.457881897
SS1238,-0.094129396,-0.45846916,0.257283837,-0.316836129,2,3,1.002082384,-1.317873435,-0.322186218,-0.589228844,0.21500166,-0.637763955,-0.028829965,0.585671925,-1.407583635,1.74850084,1.158316349,0.677830316,0.732309736,-2.066042155,0.826074803,1.710963119,1.334453751
SS1239,0.376712618,-0.45846916,0.257283837,-0.316836129,2,3,1.002082384,-1.317873435,-0.322186218,-0.868784434,0.369164999,-0.726206358,-0.028829965,0.585671925,-1.390363431,1.74850084,1.158316349,0.636616837,0.73789352,-2.066042155,0.653212514,1.871572936,1.352182518
SS1241,-1.081358086,-0.45846916,0.257283837,-0.316836129,2,3,1.002082384,-1.317873435,0.173191756,0.337992059,0.057964736,-0.410899572,0.100968749,0.588857846,-1.44198275,-0.718826928,1.094175847,0.762073202,0.846325354,-2.066042155,0.954242509,2.167612673,1.491361694
SS1242,-0.577800892,-0.45846916,0.257283837,-0.316836129,2,3,1.002082384,-1.317873435,0.173191756,-0.089605761,0.191442659,-0.524626422,0.100968749,0.588857846,-1.407583635,-0.718826928,1.094175847,0.677830316,0.823600083,-2.066042155,0.84509804,2.18723862,1.46834733
SS1244,0.186836275,-0.45846916,0.257283837,-0.316836129,2,3,1.002082384,-1.317873435,0.173191756,-0.63687731,0.417186842,-0.704719592,0.100968749,0.588857846,-1.380039567,-0.718826928,1.094175847,0.612204133,0.801505358,-2.066042155,0.574031268,2.229169703,1.290034611
SS1245,0.740428452,-0.45846916,0.257283837,-0.316836129,2,3,1.002082384,-1.317873435,0.173191756,-0.984578006,0.602091587,-0.828633182,0.100968749,0.588857846,-1.368229067,-0.718826928,1.094175847,0.584541635,0.790504009,-2.066042155,0.525044807,2.293583513,1.334453751
SS1246,-1.21221881,-0.45846916,0.257283837,-0.316836129,2,3,1.002082384,-1.317873435,1.00408824,0.844188724,-0.110862608,-0.064874795,0.019972222,0.685638862,-1.407583635,-0.587320522,1.327432694,0.677830316,0.800167627,-2.066042155,0.86923172,2.2509077,1.387389826
SS1247,-0.643872728,-0.45846916,0.257283837,-0.316836129,2,3,1.002082384,-1.317873435,1.00408824,0.224157557,0.044730122,-0.276281673,0.019972222,0.685638862,-1.380039567,-0.587320522,1.327432694,0.612204133,0.786009583,-2.066042155,0.740362689,2.305781151,1.369215857
SS1251,-1.384133877,-0.45846916,0.546134351,0.423238831,2,4,1.002082384,0.12185362,1.00408824,1.317910921,-0.169940781,0.031786121,0.019972222,0.685638862,-1.00441254,-0.587320522,1.327432694,0.132480166,2.440138888,-2.066042155,1.031448862,2.34849957,1.640481437
