Compound,A,B,In literature,Lowest distortion,v(A),v(B),r(AXII)(Å),r(AVI)(Å),r(BVI)(Å),EN(A),EN(B),l(A-O)(Å),l(B-O)(Å),ΔENR,tG,τ,μ
CaHfO3,Ca,Hf,TRUE,orthorhombic,2,4,1.34,1,0.71,1,1.3,2.648077507,2.027412322,-6.713285714,0.91823345,3.914661683,0.507142857
CaIrO3,Ca,Ir,TRUE,orthorhombic,2,4,1.34,1,0.63,1,2.2,2.648077507,2.009082787,-6.186,0.95441999,3.85881909,0.45
CaMoO3,Ca,Mo,TRUE,orthorhombic,2,4,1.34,1,0.65,1,2.16,2.648077507,1.7893,-6.222285714,0.945108576,3.853013344,0.464285714
CaNbO3,Ca,Nb,TRUE,orthorhombic,2,4,1.34,1,0.68,1,1.6,2.648077507,1.955055241,-6.521714286,0.931477202,3.868922301,0.485714286
CaPbO3,Ca,Pb,TRUE,orthorhombic,2,4,1.34,1,0.78,1,2.33,2.648077507,2.362863567,-6.246428571,0.88874889,4.144346517,0.557142857
CaPdO3,Ca,Pd,FALSE,orthorhombic,2,4,1.34,1,0.62,1,2.2,2.648077507,2.04250519,-6.177142857,0.959144842,3.866667442,0.442857143
CaPrO3,Ca,Pr,FALSE,cubic,2,4,1.34,1,0.85,1,1.13,2.648077507,2.340791612,-7.0305,0.861098925,4.573729588,0.607142857
CaReO3,Ca,Re,FALSE,orthorhombic,2,4,1.34,1,0.63,1,1.9,2.648077507,1.98797081,-6.321,0.95441999,3.85881909,0.45
CaRhO3,Ca,Rh,FALSE,orthorhombic,2,4,1.34,1,0.6,1,2.28,2.648077507,2.001424352,-6.125142857,0.96873629,3.892378934,0.428571429
CaRuO3,Ca,Ru,TRUE,orthorhombic,2,4,1.34,1,0.62,1,2.2,2.648077507,2.018753288,-6.177142857,0.959144842,3.866667442,0.442857143
CaSnO3,Ca,Sn,TRUE,orthorhombic,2,4,1.34,1,0.69,1,1.96,2.648077507,2.052287148,-6.357428571,0.927020373,3.880820873,0.492857143
CaTaO3,Ca,Ta,FALSE,orthorhombic,2,4,1.34,1,0.68,1,1.5,2.648077507,1.956808277,-6.570285714,0.931477202,3.868922301,0.485714286
CaTbO3,Ca,Tb,FALSE,cubic,2,4,1.34,1,0.76,1,1.2,2.648077507,2.256932729,-6.844,0.896978047,4.060189592,0.542857143
CaThO3,Ca,Th,FALSE,cubic,2,4,1.34,1,0.94,1,1.3,2.648077507,2.246056043,-7.064857143,0.827979735,5.530833695,0.671428571
CaTiO3,Ca,Ti,TRUE,orthorhombic,2,4,1.34,1,0.61,1,1.54,2.648077507,1.927848949,-6.455857143,0.963916707,3.877842825,0.435714286
CaUO3,Ca,U,FALSE,cubic,2,4,1.34,1,0.89,1,1.38,2.648077507,2.0478,-6.937571429,0.846057895,4.931808666,0.635714286
CaVO3,Ca,V,TRUE,orthorhombic,2,4,1.34,1,0.58,1,1.63,2.648077507,1.758039163,-6.377857143,0.978521505,3.931714492,0.414285714
CaWO3,Ca,W,FALSE,orthorhombic,2,4,1.34,1,0.66,1,2.36,2.648077507,1.7456,-6.137142857,0.94052067,3.855032703,0.471428571
CaZrO3,Ca,Zr,TRUE,orthorhombic,2,4,1.34,1,0.72,1,1.33,2.648077507,2.043777903,-6.713142857,0.913902161,3.93668516,0.514285714
CdCeO3,Cd,Ce,FALSE,cubic,2,4,1.31,0.95,0.87,1.69,1.12,2.568546104,2.268642439,-6.298071429,0.844167126,4.967059278,0.621428571
CdFeO3,Cd,Fe,FALSE,orthorhombic,2,4,1.31,0.95,0.59,1.69,1.83,2.568546104,1.999521816,-5.534857143,0.962944411,3.940013515,0.421428571
CdHfO3,Cd,Hf,FALSE,rhombohedral,2,4,1.31,0.95,0.71,1.69,1.3,2.568546104,2.027412322,-5.941642857,0.9081798,3.996379133,0.507142857
CdIrO3,Cd,Ir,FALSE,orthorhombic,2,4,1.31,0.95,0.63,1.69,2.2,2.568546104,2.009082787,-5.414357143,0.943970136,3.90306178,0.45
CdMoO3,Cd,Mo,FALSE,rhombohedral,2,4,1.31,0.95,0.65,1.69,2.16,2.568546104,1.7893,-5.450642857,0.934760672,3.905432068,0.464285714
CdNbO3,Cd,Nb,FALSE,orthorhombic,2,4,1.31,0.95,0.68,1.69,1.6,2.568546104,1.955055241,-5.750071429,0.921278547,3.934989738,0.485714286
CdPbO3,Cd,Pb,FALSE,orthorhombic,2,4,1.31,0.95,0.78,1.69,2.33,2.568546104,2.362863567,-5.474785714,0.879018063,4.273268869,0.557142857
CdPdO3,Cd,Pd,FALSE,orthorhombic,2,4,1.31,0.95,0.62,1.69,2.2,2.568546104,2.04250519,-5.4055,0.948643256,3.907063064,0.442857143
CdPrO3,Cd,Pr,FALSE,cubic,2,4,1.31,0.95,0.85,1.69,1.13,2.568546104,2.340791612,-6.258857143,0.851670834,4.773127417,0.607142857
CdReO3,Cd,Re,FALSE,rhombohedral,2,4,1.31,0.95,0.63,1.69,1.9,2.568546104,1.98797081,-5.549357143,0.943970136,3.90306178,0.45
CdRhO3,Cd,Rh,FALSE,orthorhombic,2,4,1.31,0.95,0.6,1.69,2.28,2.568546104,2.001424352,-5.3535,0.958129689,3.925510098,0.428571429
CdRuO3,Cd,Ru,FALSE,orthorhombic,2,4,1.31,0.95,0.62,1.69,2.2,2.568546104,2.018753288,-5.4055,0.948643256,3.907063064,0.442857143
CdSbO3,Cd,Sb,FALSE,orthorhombic,2,4,1.31,0.95,0.68,1.69,2.05,2.568546104,2.075848892,-5.5315,0.921278547,3.934989738,0.485714286
CdSnO3,Cd,Sn,TRUE,orthorhombic,2,4,1.31,0.95,0.69,1.69,1.96,2.568546104,2.052287148,-5.585785714,0.916870515,3.951861548,0.492857143
CdTaO3,Cd,Ta,FALSE,rhombohedral,2,4,1.31,0.95,0.68,1.69,1.5,2.568546104,1.956808277,-5.798642857,0.921278547,3.934989738,0.485714286
CdTbO3,Cd,Tb,FALSE,cubic,2,4,1.31,0.95,0.76,1.69,1.2,2.568546104,2.256932729,-6.072357143,0.887157119,4.17377922,0.542857143
CdTiO3,Cd,Ti,TRUE,orthorhombic,2,4,1.31,0.95,0.61,1.69,1.54,2.568546104,1.927848949,-5.684214286,0.953362874,3.914537862,0.435714286
CdUO3,Cd,U,FALSE,orthorhombic,2,4,1.31,0.95,0.89,1.69,1.38,2.568546104,2.0478,-6.165928571,0.836794488,5.188443899,0.635714286
CdVO3,Cd,V,FALSE,orthorhombic,2,4,1.31,0.95,0.58,1.69,1.63,2.568546104,1.758039163,-5.606214286,0.967807766,3.95809193,0.414285714
CdWO3,Cd,W,FALSE,cubic,2,4,1.31,0.95,0.66,1.69,2.36,2.568546104,1.7456,-5.3655,0.930222999,3.911803514,0.471428571
CdZrO3,Cd,Zr,FALSE,orthorhombic,2,4,1.31,0.95,0.72,1.69,1.33,2.568546104,2.043777903,-5.9415,0.903895933,4.024142317,0.514285714
CeAgO3,Ce,Ag,FALSE,orthorhombic,3,3,1.34,0.94,0.75,1.12,1.93,2.577786082,2.488353231,-6.322071429,0.901150037,2.102445808,0.535714286
CeAsO3,Ce,As,FALSE,orthorhombic,3,3,1.34,0.94,0.58,1.12,2.18,2.577786082,1.932227032,-6.035142857,0.978521505,1.690675187,0.414285714
CeCoO3,Ce,Co,FALSE,orthorhombic,3,3,1.34,0.94,0.61,1.12,1.88,2.577786082,1.930310969,-6.192857143,0.963916707,1.669223254,0.435714286
CeCrO3,Ce,Cr,TRUE,orthorhombic,3,3,1.34,0.94,0.62,1.12,1.66,2.577786082,1.960053288,-6.301428571,0.959144842,1.670968905,0.442857143
CeDyO3,Ce,Dy,FALSE,orthorhombic,3,3,1.34,0.94,0.91,1.12,1.22,2.577786082,2.255580699,-6.956142857,0.838732719,3.95398448,0.65
CeErO3,Ce,Er,FALSE,orthorhombic,3,3,1.34,0.94,0.89,1.12,1.24,2.577786082,2.250676638,-6.911714286,0.846057895,3.611196145,0.635714286
CeEuO3,Ce,Eu,FALSE,cubic,3,3,1.34,0.94,0.95,1.12,1.2,2.577786082,2.354367494,-7.033142857,0.824456417,4.776112306,0.678571429
CeFeO3,Ce,Fe,TRUE,orthorhombic,3,3,1.34,0.94,0.65,1.12,1.83,2.577786082,1.999521816,-6.260642857,0.945108576,1.702596939,0.464285714
CeGaO3,Ce,Ga,TRUE,orthorhombic,3,3,1.34,0.94,0.62,1.12,1.81,2.577786082,1.974643898,-6.235,0.959144842,1.670968905,0.442857143
CeGdO3,Ce,Gd,FALSE,cubic,3,3,1.34,0.94,0.94,1.12,1.2,2.577786082,2.28415608,-7.017142857,0.827979735,4.551569691,0.671428571
CeGeO3,Ce,Ge,FALSE,orthorhombic,3,3,1.34,0.94,0.63,1.12,2.01,2.577786082,1.899964183,-6.156642857,0.95441999,1.677117524,0.45
CeHfO3,Ce,Hf,FALSE,orthorhombic,2,4,1.34,0.94,0.71,1.12,1.3,2.577786082,2.027412322,-6.598428571,0.91823345,3.914661683,0.507142857
CeHoO3,Ce,Ho,FALSE,orthorhombic,3,3,1.34,0.94,0.9,1.12,1.23,2.577786082,2.25865608,-6.933857143,0.842379383,3.777486596,0.642857143
CeInO3,Ce,In,FALSE,orthorhombic,3,3,1.34,0.94,0.8,1.12,1.78,2.577786082,2.147680955,-6.461714286,0.880669355,2.491899467,0.571428571
CeIrO3,Ce,Ir,FALSE,orthorhombic,3,3,1.34,0.94,0.68,1.12,2.2,2.577786082,2.009082787,-6.115428571,0.931477202,1.773971687,0.485714286
CeLuO3,Ce,Lu,TRUE,orthorhombic,3,3,1.34,0.94,0.86,1.12,1.27,2.577786082,2.209114963,-6.846142857,0.857288752,3.167924149,0.614285714
CeMgO3,Ce,Mg,FALSE,orthorhombic,4,2,1.14,0.94,0.72,1.12,1.31,2.577786082,2.046489492,-5.785714286,0.847193974,-0.273427665,0.514285714
CeMnO3,Ce,Mn,TRUE,orthorhombic,3,3,1.34,0.94,0.65,1.12,1.55,2.577786082,2.16999357,-6.390642857,0.945108576,1.702596939,0.464285714
CeMoO3,Ce,Mo,FALSE,orthorhombic,3,3,1.34,0.94,0.69,1.12,2.16,2.577786082,1.7893,-6.144,0.927020373,1.806738556,0.492857143
CeNbO3,Ce,Nb,FALSE,orthorhombic,3,3,1.34,0.94,0.72,1.12,1.6,2.577786082,1.955055241,-6.459428571,0.913902161,1.932805518,0.514285714
CeNiO3,Ce,Ni,FALSE,orthorhombic,3,3,1.34,0.94,0.6,1.12,1.91,2.577786082,2.103725488,-6.168857143,0.96873629,1.671901735,0.428571429
CePbO3,Ce,Pb,FALSE,cubic,2,4,1.34,0.94,0.78,1.12,2.33,2.577786082,2.362863567,-6.131571429,0.88874889,4.144346517,0.557142857
CeReO3,Ce,Re,FALSE,orthorhombic,3,3,1.34,0.94,0.63,1.12,1.9,2.577786082,1.98797081,-6.206142857,0.95441999,1.677117524,0.45
CeRhO3,Ce,Rh,FALSE,orthorhombic,3,3,1.34,0.94,0.67,1.12,2.28,2.577786082,2.001424352,-6.068285714,0.935977092,1.745722484,0.478571429
CeRuO3,Ce,Ru,FALSE,orthorhombic,3,3,1.34,0.94,0.68,1.12,2.2,2.577786082,2.018753288,-6.115428571,0.931477202,1.773971687,0.485714286
CeSbO3,Ce,Sb,FALSE,cubic,3,3,1.34,0.94,0.76,1.12,2.05,2.577786082,2.075848892,-6.267714286,0.896978047,2.169231756,0.542857143
CeScO3,Ce,Sc,FALSE,orthorhombic,3,3,1.34,0.94,0.75,1.12,1.36,2.577786082,2.074614707,-6.627428571,0.901150037,2.102445808,0.535714286
CeSmO3,Ce,Sm,FALSE,cubic,3,3,1.34,0.94,0.96,1.12,1.17,2.577786082,2.311832729,-7.069714286,0.820962958,5.01487117,0.685714286
CeSnO3,Ce,Sn,FALSE,orthorhombic,2,4,1.34,0.94,0.69,1.12,1.96,2.577786082,2.052287148,-6.242571429,0.927020373,3.880820873,0.492857143
CeTaO3,Ce,Ta,FALSE,orthorhombic,3,3,1.34,0.94,0.72,1.12,1.5,2.577786082,1.956808277,-6.510857143,0.913902161,1.932805518,0.514285714
CeTbO3,Ce,Tb,FALSE,cubic,3,3,1.34,0.94,0.92,1.12,1.2,2.577786082,2.256932729,-6.985142857,0.835117492,4.141340268,0.657142857
CeThO3,Ce,Th,FALSE,cubic,2,4,1.34,0.94,0.94,1.12,1.3,2.577786082,2.246056043,-6.95,0.827979735,5.530833695,0.671428571
CeTiO3,Ce,Ti,TRUE,orthorhombic,3,3,1.34,0.94,0.67,1.12,1.54,2.577786082,1.927848949,-6.422428571,0.935977092,1.745722484,0.478571429
CeTlO3,Ce,Tl,FALSE,orthorhombic,3,3,1.34,0.94,0.89,1.12,1.62,2.577786082,2.297683747,-6.670142857,0.846057895,3.611196145,0.635714286
CeTmO3,Ce,Tm,TRUE,orthorhombic,3,3,1.34,0.94,0.88,1.12,1.25,2.577786082,2.119700811,-6.889714286,0.849768676,3.454522373,0.628571429
CeUO3,Ce,U,FALSE,cubic,2,4,1.34,0.94,0.89,1.12,1.38,2.577786082,2.0478,-6.822714286,0.846057895,4.931808666,0.635714286
CeVO3,Ce,V,TRUE,orthorhombic,3,3,1.34,0.94,0.64,1.12,1.63,2.577786082,1.758039163,-6.340571429,0.949741461,1.687659561,0.457142857
CeWO3,Ce,W,FALSE,orthorhombic,3,3,1.34,0.94,0.66,1.12,2.36,2.577786082,1.7456,-6.022285714,0.94052067,1.721942993,0.471428571
CeYO3,Ce,Y,FALSE,cubic,3,3,1.34,0.94,0.9,1.12,1.22,2.577786082,2.235124352,-6.940285714,0.842379383,3.777486596,0.642857143
CeYbO3,Ce,Yb,TRUE,cubic,3,3,1.34,0.94,0.87,1.12,1.1,2.577786082,2.223980699,-6.967285714,0.85351215,3.306928065,0.621428571
CeZnO3,Ce,Zn,FALSE,orthorhombic,4,2,1.14,0.94,0.74,1.12,1.65,2.577786082,2.096140752,-5.636428571,0.839276273,0.151754243,0.528571429
CeZrO3,Ce,Zr,FALSE,orthorhombic,2,4,1.34,0.94,0.72,1.12,1.33,2.577786082,2.043777903,-6.598285714,0.913902161,3.93668516,0.514285714
CoVO3,Co,V,FALSE,cubic,2,4,0.9,0.63,0.58,1.88,1.63,2.233562861,1.758039163,-3.964142857,0.821386665,5.47725185,0.414285714
CsBiO3,Cs,Bi,FALSE,cubic,1,5,1.88,1.67,0.76,0.79,2.02,3.300175886,2.215655462,-8.948857143,1.073754742,3.573319419,0.542857143
CsTeO3,Cs,Te,FALSE,tetragonal,1,5,1.88,1.67,0.77,0.79,2.1,3.300175886,2.115491508,-8.915,1.068806563,3.553403075,0.55
